Timestamp,Score,Do you use social media?,Age Group:,Frequency of Travel:,Primary Social Media Platform for Travel Planning:,I find using social media for travel-related content enjoyable.,I have fun exploring travel destinations through social media platforms.,I consider travel information on social media to be reliable. ,I trust the travel-related content shared on social media platforms.,I believe that travel influencers provide credible information about destinations.,I trust recommendations given by travel influencers on social media. ,I have a positive attitude toward using social media for travel planning. ,Using social media for travel decisions is a good idea.,I have significant prior experience in traveling to different places. ,My past travel experiences help me make better travel decisions. ,I often choose travel destinations based on what I see on social media. ,Social media influences my actual travel decisions and actions.,How much travel experience do you have?,Rank these from 1 to 4 based on what makes you want to travel ,"In one sentence, what worries you most about booking a trip based on social media?"
3/18/2026 19:44:17,,Yes,18–25,Once a year,"Instagram, Facebook, YouTube",4,3,5,4,5,5,4,4,1,1,1,4,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information, Honest reviews from other travelers","The biggest worry is that highly curated, edited, or sponsored social media content creates unrealistic expectations, leading to disappointment when the actual destination, hotel, or experience fails to match the ""insta-worthy"" imagery. "
3/18/2026 19:44:33,,Yes,18–25,2–3 times a year,"Instagram, YouTube",3,2,4,5,3,5,4,4,3,3,3,5,Beginner (Rarely travel),Beautiful photos/videos,Expenses 
3/18/2026 19:50:09,,Yes,18–25,2–3 times a year,"Instagram, Facebook, YouTube",4,5,4,4,4,4,4,4,4,3,4,5,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Advice from influencers I follow, Honest reviews from other travelers","The biggest worry is that highly curated, edited, or sponsored social media content creates unrealistic expectations, leading to disappointment when the actual destination, hotel, or experience fails to match the ""insta-worthy"" imagery. "
3/18/2026 20:23:01,,Yes,41–55,More than 3 times a year,YouTube,1,1,1,1,1,1,2,3,4,2,2,2,Intermediate (Travel once or twice a year),Honest reviews from other travelers,"Comfortable, safety"
3/18/2026 20:34:17,,Yes,18–25,Once a year,YouTube,3,4,2,3,2,4,5,4,5,5,4,1,Beginner (Rarely travel),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",
3/18/2026 20:37:03,,Yes,18–25,Once a year,"Instagram, YouTube",1,2,1,1,1,1,2,2,2,1,3,4,Beginner (Rarely travel),Beautiful photos/videos,"Comfortable, safety"
3/18/2026 20:37:32,,Yes,26–40,Once a year,Instagram,4,1,5,5,1,1,3,1,3,5,5,1,Intermediate (Travel once or twice a year),Honest reviews from other travelers,Whether the given Information is perfect or not
3/18/2026 20:37:37,,Yes,26–40,Never,YouTube,1,1,1,1,1,1,1,1,2,5,4,2,Beginner (Rarely travel),Honest reviews from other travelers,Fraud
3/18/2026 20:44:38,,Yes,18–25,Once a year,,1,2,3,4,1,3,2,3,3,1,2,5,Beginner (Rarely travel),Beautiful photos/videos,Beautiful places with affordable cost package 
3/18/2026 20:46:20,,Yes,18–25,Once a year,YouTube,2,1,2,3,4,3,3,3,4,1,1,3,Intermediate (Travel once or twice a year),Beautiful photos/videos,
3/18/2026 20:48:01,,Yes,26–40,2–3 times a year,"Instagram, YouTube",2,1,2,2,1,2,3,2,5,4,5,1,Intermediate (Travel once or twice a year),Helpful and detailed information,Won't able to get the exact thing specified about the location 
3/18/2026 20:48:03,,Yes,26–40,More than 3 times a year,"Instagram, YouTube",1,3,2,1,1,1,2,2,2,5,4,2,Expert (Travel very frequently),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",
3/18/2026 20:49:43,,Yes,18–25,Never,Instagram,1,1,2,3,4,4,5,5,3,5,3,1,Intermediate (Travel once or twice a year),Helpful and detailed information,Good
3/18/2026 20:49:47,,Yes,18–25,Once a year,Instagram,1,1,1,2,1,1,1,1,1,1,1,1,Beginner (Rarely travel),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",
3/18/2026 20:49:56,,Yes,18–25,Once a year,"Instagram, Facebook, YouTube",5,5,5,5,5,5,5,5,1,2,2,4,Beginner (Rarely travel),Beautiful photos/videos,Yes
3/18/2026 20:51:26,,Yes,26–40,Once a year,"Instagram, YouTube",2,2,2,2,2,2,2,2,1,2,5,3,Intermediate (Travel once or twice a year),Beautiful photos/videos,Booking 
3/18/2026 20:51:58,,Yes,18–25,Once a year,Instagram,3,4,2,4,2,1,3,4,2,2,3,1,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Honest reviews from other travelers",
3/18/2026 20:54:39,,Yes,18–25,2–3 times a year,Instagram,1,1,3,,1,,1,1,1,3,3,5,Intermediate (Travel once or twice a year),Beautiful photos/videos,
3/18/2026 20:55:30,,Yes,18–25,2–3 times a year,YouTube,2,2,3,4,2,3,4,4,4,3,5,4,Intermediate (Travel once or twice a year),Helpful and detailed information,"Comfortable, safety"
3/18/2026 20:57:20,,Yes,18–25,Once a year,Instagram,3,3,4,4,3,4,4,3,3,1,5,4,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",Unauthorised 3rd Party Travel Agents And Thier Plans
3/18/2026 20:57:28,,Yes,26–40,Once a year,Instagram,3,2,2,4,3,2,3,2,3,4,4,3,Beginner (Rarely travel),Beautiful photos/videos,Jammu and Kashmir
3/18/2026 20:57:53,,Yes,18–25,More than 3 times a year,Instagram,4,4,4,4,4,4,4,4,4,4,5,1,Intermediate (Travel once or twice a year),Helpful and detailed information,The loopholes in expense management 
3/18/2026 20:57:58,,Yes,18–25,More than 3 times a year,"Instagram, ",3,1,4,2,3,4,4,4,2,5,1,2,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",May be fake show off 
3/18/2026 20:58:37,,Yes,18–25,More than 3 times a year,Instagram,3,1,2,3,4,1,1,2,5,4,4,1,Intermediate (Travel once or twice a year),Helpful and detailed information,Safety issues
3/18/2026 20:59:36,,Yes,18–25,2–3 times a year,"Instagram, YouTube",3,4,4,4,3,4,5,3,2,4,2,5,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",Hotels
3/18/2026 20:59:59,,Yes,18–25,2–3 times a year,Instagram,1,2,3,1,1,2,2,1,1,3,1,4,Beginner (Rarely travel),Advice from influencers I follow, honesty 
3/18/2026 21:00:12,,Yes,26–40,2–3 times a year,YouTube,5,2,5,3,1,2,3,3,1,3,5,2,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",That the place or stay might be a fraud and unsafe 
3/18/2026 21:00:22,,Yes,18–25,Once a year,YouTube,3,1,5,3,1,4,5,4,2,4,2,3,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information",Sometimes it may differ from the photos shared online 
3/18/2026 21:02:49,,Yes,18–25,2–3 times a year,"Instagram, YouTube",2,1,3,5,2,2,3,2,2,1,3,5,Intermediate (Travel once or twice a year),Beautiful photos/videos,Medium
3/18/2026 21:03:24,,Yes,18–25,Once a year,YouTube,2,2,4,4,2,3,3,3,3,1,3,3,Intermediate (Travel once or twice a year),Beautiful photos/videos,I worry that what I see on social media may not be true in real life.
3/18/2026 21:05:12,,Yes,18–25,2–3 times a year,YouTube,1,1,3,2,1,1,5,1,2,4,5,1,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information",Expenditure 
3/18/2026 21:05:18,,Yes,18–25,2–3 times a year,Instagram,4,4,4,3,3,3,3,3,1,4,3,1,Intermediate (Travel once or twice a year),"Advice from influencers I follow, Honest reviews from other travelers",Fake reviews 
3/18/2026 21:05:29,,Yes,18–25,More than 3 times a year,"Instagram, YouTube, LinkedIn ",5,5,5,5,5,5,5,5,1,1,2,1,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",
3/18/2026 21:06:13,,Yes,18–25,Never,Instagram,4,2,3,5,4,4,3,4,4,4,1,5,,Beautiful photos/videos,
3/18/2026 21:06:32,,Yes,18–25,More than 3 times a year,"Instagram, YouTube",2,1,3,4,4,3,3,3,1,1,2,3,Intermediate (Travel once or twice a year),"Helpful and detailed information, Honest reviews from other travelers","Place to stay, food availability,safety"
3/18/2026 21:06:49,,Yes,18–25,2–3 times a year,Instagram,1,3,4,3,3,1,2,1,2,5,3,3,Intermediate (Travel once or twice a year),Helpful and detailed information,Is it really like this as seen in insta    what it becomes wrong worries a lot
3/18/2026 21:11:00,,Yes,18–25,Once a year,Instagram,4,3,4,4,2,3,4,3,1,5,4,4,Beginner (Rarely travel),Helpful and detailed information,Getting cheated 
3/18/2026 21:11:13,,Yes,18–25,Once a year,"Instagram, YouTube",3,1,3,3,2,3,4,3,2,5,1,1,Intermediate (Travel once or twice a year),Helpful and detailed information,I worry that the destination may be overcrowded or not as peaceful as it looks online.
3/18/2026 21:12:16,,Yes,26–40,2–3 times a year,"Instagram, YouTube",3,5,3,5,5,5,5,4,1,2,1,1,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Honest reviews from other travelers","It helps to visit new places and based on reviews and photos, videos it will attract more to visit those places"
3/18/2026 21:12:56,,Yes,18–25,More than 3 times a year,Instagram,3,2,2,3,4,3,3,4,3,4,1,2,Intermediate (Travel once or twice a year),Beautiful photos/videos,I love travelling
3/18/2026 21:14:17,,Yes,18–25,More than 3 times a year,Instagram,5,1,1,1,4,2,2,2,2,1,2,4,Expert (Travel very frequently),"Beautiful photos/videos, Helpful and detailed information",I never booked through social media
3/18/2026 21:14:36,,Yes,18–25,2–3 times a year,"Instagram, YouTube",1,2,2,2,2,3,3,2,1,2,4,1,Intermediate (Travel once or twice a year),Beautiful photos/videos,Booking Is the really true or not 
3/18/2026 21:17:04,,Yes,26–40,More than 3 times a year,"YouTube, ",3,3,4,4,4,3,3,3,4,1,2,2,Expert (Travel very frequently),Helpful and detailed information,NA
3/18/2026 21:17:19,,Yes,18–25,2–3 times a year,Instagram,4,3,5,4,4,4,3,2,4,1,3,3,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information",
3/18/2026 21:19:02,,Yes,18–25,2–3 times a year,"Instagram, Google ",4,1,3,2,1,2,2,1,2,5,2,1,Beginner (Rarely travel),Beautiful photos/videos,I worry that the information shown on social media may not be completely real or accurate in actual experience.
3/18/2026 21:22:37,,Yes,18–25,2–3 times a year,Own,3,2,3,4,2,3,3,3,5,3,1,4,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information",
3/18/2026 21:22:45,,Yes,18–25,Once a year,YouTube,5,4,4,5,3,3,4,3,2,3,3,3,Beginner (Rarely travel),"Beautiful photos/videos, Honest reviews from other travelers","Expenses , safety and proper stay"
3/18/2026 21:25:35,,Yes,18–25,Once a year,YouTube,1,1,4,1,1,1,1,1,5,3,1,1,Beginner (Rarely travel),Beautiful photos/videos,Scam
3/18/2026 21:28:41,,Yes,18–25,2–3 times a year,"Instagram, YouTube",4,2,5,4,3,3,3,4,4,2,1,1,Intermediate (Travel once or twice a year),Beautiful photos/videos,NA
3/18/2026 21:29:56,,Yes,26–40,More than 3 times a year,"Instagram, ",5,5,5,5,5,5,5,5,4,4,5,1,Expert (Travel very frequently),"Beautiful photos/videos, Honest reviews from other travelers",Instagram 
3/18/2026 21:31:20,,Yes,18–25,Once a year,Instagram,1,1,2,1,4,1,1,1,4,3,4,3,Intermediate (Travel once or twice a year),Beautiful photos/videos,
3/18/2026 21:32:44,,Yes,18–25,Once a year,YouTube,1,1,1,1,1,2,1,1,5,3,5,1,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Honest reviews from other travelers",
3/18/2026 21:34:05,,Yes,18–25,2–3 times a year,"Instagram, YouTube",4,5,4,5,3,3,3,3,3,4,2,5,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information",Nothing 
3/18/2026 21:35:39,,Yes,18–25,2–3 times a year,"Instagram, YouTube",5,5,5,5,5,5,5,5,3,3,2,3,Intermediate (Travel once or twice a year),"Helpful and detailed information, Advice from influencers I follow",
3/18/2026 21:47:35,,Yes,18–25,Once a year,Family,2,3,3,5,3,3,4,4,2,1,4,4,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information, Honest reviews from other travelers",Will be they as good as they been shown on stories and video and posts they had posted
3/18/2026 21:47:46,,Yes,26–40,2–3 times a year,YouTube,4,4,4,4,2,3,2,2,1,3,4,2,Intermediate (Travel once or twice a year),,Overrated destinations advertised for monetary purposes. No detailed information.
3/18/2026 21:57:32,,Yes,18–25,2–3 times a year,"Instagram, YouTube",2,1,1,4,2,3,2,2,1,1,2,4,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow",
3/18/2026 21:59:28,,Yes,26–40,2–3 times a year,"Instagram, Facebook, YouTube, ",2,1,1,3,2,1,1,1,1,3,1,4,Beginner (Rarely travel),Beautiful photos/videos,
3/18/2026 22:02:06,,Yes,18–25,More than 3 times a year,Instagram,1,1,2,3,3,4,4,3,3,5,5,3,Intermediate (Travel once or twice a year),Beautiful photos/videos,Not about social media its about are freinds who cancels trip at last moment 
3/18/2026 22:06:27,,Yes,18–25,Once a year,YouTube,3,4,4,4,2,5,3,3,1,3,4,5,Beginner (Rarely travel),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",Overcrowded places due to viral trends
3/18/2026 22:08:05,,Yes,18–25,More than 3 times a year,"Instagram, ",2,4,5,5,5,3,3,4,1,4,3,4,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information",
3/18/2026 22:20:29,,Yes,18–25,Once a year,Instagram,4,4,3,3,3,4,4,4,1,2,5,4,Beginner (Rarely travel),"Beautiful photos/videos, Helpful and detailed information",No worries
3/18/2026 22:28:42,,Yes,18–25,Once a year,Instagram,2,2,3,1,1,1,2,1,3,1,2,3,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",Price of travelling and booking hotels.
3/18/2026 22:50:30,,No,18–25,More than 3 times a year,"Instagram, YouTube",5,5,,5,5,5,5,5,4,2,3,5,Expert (Travel very frequently),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",
3/18/2026 22:55:25,,Yes,18–25,More than 3 times a year,Instagram,2,1,1,2,4,3,4,3,1,1,3,4,Expert (Travel very frequently),Honest reviews from other travelers,Price
3/18/2026 23:00:35,,Yes,18–25,Once a year,"Instagram, YouTube",1,1,5,5,5,5,3,3,4,3,4,2,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",Hotel booking
3/18/2026 23:06:11,,Yes,18–25,2–3 times a year,"Instagram, YouTube",1,1,1,5,3,2,3,4,5,1,1,1,Expert (Travel very frequently),Beautiful photos/videos,Budget
3/18/2026 23:32:20,,Yes,18–25,Once a year,"Instagram, Facebook, YouTube",4,5,3,3,4,3,4,1,1,5,1,1,Beginner (Rarely travel),"Helpful and detailed information, Honest reviews from other travelers","edited content that makes places look better than reality outdated travel tips, prices, or safety information"
3/18/2026 23:46:14,,Yes,18–25,More than 3 times a year,Instagram,3,1,1,1,1,1,1,1,3,1,4,5,Expert (Travel very frequently),Honest reviews from other travelers,Budget 
3/19/2026 0:16:37,,Yes,26–40,2–3 times a year,Instagram,2,2,,1,1,3,3,4,2,2,1,3,Beginner (Rarely travel),Beautiful photos/videos,The biggest worry when booking a trip based on social media is that heavily filtered curetted or paid influencer contend will result in a disappointing reality where the destination fails to match expectations.
3/19/2026 0:29:53,,Yes,18–25,2–3 times a year,Instagram,3,2,4,4,1,3,1,2,5,4,1,5,Intermediate (Travel once or twice a year),Helpful and detailed information,False information about a place while planning a trip.
3/19/2026 1:16:28,,Yes,18–25,Once a year,YouTube,3,2,3,3,3,3,4,3,2,4,4,5,Beginner (Rarely travel),Honest reviews from other travelers,Budget and security
3/19/2026 6:25:32,,Yes,18–25,2–3 times a year,Instagram,1,3,2,4,2,1,2,3,4,4,2,5,Intermediate (Travel once or twice a year),Honest reviews from other travelers,Review and trustful photo videos 
3/19/2026 7:37:19,,Yes,18–25,Never,"Instagram, YouTube",2,2,2,2,2,2,2,2,5,2,5,1,Intermediate (Travel once or twice a year),Beautiful photos/videos, 
3/19/2026 10:12:12,,Yes,18–25,Once a year,Instagram,1,1,1,1,1,1,1,1,5,3,4,5,Beginner (Rarely travel),Beautiful photos/videos,Budget 
3/19/2026 11:22:21,,Yes,18–25,,Instagram,2,1,1,3,4,1,1,1,3,4,3,1,Intermediate (Travel once or twice a year),Beautiful photos/videos,Travel is way of happiness 
3/19/2026 20:17:37,,Yes,18–25,More than 3 times a year,Instagram,3,3,5,4,3,4,3,3,1,2,4,4,Intermediate (Travel once or twice a year),Honest reviews from other travelers,...
3/19/2026 23:16:26,,Yes,18–25,2–3 times a year,YouTube,1,1,1,3,3,3,2,3,1,3,2,5,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",
3/20/2026 10:39:13,,Yes,18–25,Once a year,Instagram,4,1,1,5,5,5,4,4,5,3,2,3,Intermediate (Travel once or twice a year),Beautiful photos/videos,Easy too go
3/20/2026 12:06:02,,Yes,26–40,More than 3 times a year,I won't decide my travel based on the soical media trash. ,1,1,1,1,1,3,1,1,3,2,5,2,Expert (Travel very frequently),Beautiful photos/videos,"I don't have any bad exepericiance by using social media reviews on the hotels, places etc.. "
3/21/2026 20:28:44,,Yes,18–25,Once a year,YouTube,3,2,2,3,2,2,2,2,3,1,5,2,Beginner (Rarely travel),Advice from influencers I follow,No queries
3/21/2026 20:40:54,,No,18–25,2–3 times a year,"Instagram, YouTube",5,5,4,3,3,4,4,3,2,4,3,4,Expert (Travel very frequently),"Advice from influencers I follow, Honest reviews from other travelers",Less trust
3/21/2026 20:50:58,,Yes,18–25,Once a year,Instagram,5,5,5,5,5,5,5,5,1,1,4,2,Beginner (Rarely travel),Helpful and detailed information,Trust and grants
3/21/2026 20:56:37,,Yes,18–25,2–3 times a year,Instagram,3,5,5,5,4,5,5,5,4,2,4,5,Intermediate (Travel once or twice a year),Helpful and detailed information,Trust issue 
3/21/2026 21:01:59,,Yes,18–25,More than 3 times a year,"Instagram, YouTube",4,4,3,5,5,5,3,4,3,3,1,2,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow",Good
3/21/2026 21:02:18,,Yes,18–25,Once a year,Instagram,3,4,4,3,3,5,4,3,3,1,4,1,Beginner (Rarely travel),"Beautiful photos/videos, Helpful and detailed information",Nice
3/21/2026 21:08:13,,Yes,18–25,2–3 times a year,"Instagram, Facebook, YouTube",1,2,3,4,4,4,4,3,4,5,2,4,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow",Some times tickets are not available on time
3/21/2026 21:39:58,,Yes,18–25,2–3 times a year,Instagram,3,1,2,4,4,4,3,4,2,5,1,2,Intermediate (Travel once or twice a year),Beautiful photos/videos,
3/21/2026 23:43:52,,Yes,18–25,,Instagram,1,1,1,1,1,1,1,1,5,5,3,2,Beginner (Rarely travel),Beautiful photos/videos,
3/21/2026 23:51:28,,Yes,18–25,Once a year,"Facebook, YouTube",3,3,3,5,4,5,5,5,2,5,4,3,Beginner (Rarely travel),"Helpful and detailed information, Honest reviews from other travelers",
3/21/2026 23:55:00,,Yes,18–25,2–3 times a year,Instagram,3,3,3,5,4,4,5,5,5,3,1,3,Expert (Travel very frequently),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",
3/21/2026 23:55:33,,Yes,18–25,More than 3 times a year,,1,1,3,3,3,3,3,3,3,1,3,1,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Advice from influencers I follow",
3/22/2026 0:00:33,,Yes,18–25,Never,"Instagram, Facebook, YouTube",3,3,2,3,2,3,4,4,3,3,1,4,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Advice from influencers I follow",
3/22/2026 0:02:16,,Yes,18–25,Never,"Instagram, Facebook, YouTube",1,1,1,1,1,1,1,1,4,3,2,1,Beginner (Rarely travel),Advice from influencers I follow,Fradees 
3/24/2026 14:46:54,,Yes,18–25,More than 3 times a year,,5,1,5,5,2,2,2,2,3,4,2,1,Intermediate (Travel once or twice a year),Beautiful photos/videos,
3/30/2026 22:38:45,,Yes,26–40,More than 3 times a year,Instagram,3,3,3,3,3,3,3,3,4,1,1,2,Expert (Travel very frequently),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",Price
3/30/2026 23:20:56,,Yes,18–25,2–3 times a year,Instagram,1,4,3,3,3,3,3,3,5,4,5,2,Intermediate (Travel once or twice a year),Advice from influencers I follow,
3/31/2026 7:06:45,,Yes,18–25,2–3 times a year,Instagram,5,3,3,4,4,5,4,5,4,4,4,2,Intermediate (Travel once or twice a year),Beautiful photos/videos,
04-01-2026 02:07,,Yes,18–25,Once a year,Instagram,4,2,4,4,4,5,5,4,3,5,1,5,Beginner (Rarely travel),"Beautiful photos/videos, Helpful and detailed information","The biggest worry when booking a trip based on social media is that heavily edited, filtered, or sponsored content creates unrealistic expectations, leading to a significant gap between the advertised ""Instagrammable"" fantasy and the actual, often disappointing, reality. [1, 2]    AI can make mistakes, so double-check responses  [1] https://www.sciencedirect.com/science/article/pii/S0261517725000330 [2] https://www.hospitalitynet.org/news/4130730/how-social-media-is-shaping-travel-planning-and-booking"
04-01-2026 02:21,,Yes,18–25,Once a year,"Instagram, YouTube",3,4,4,4,3,2,3,3,5,5,2,5,Beginner (Rarely travel),"Beautiful photos/videos, Helpful and detailed information",They takes more money 
04-01-2026 02:26,,Yes,18–25,2–3 times a year,Instagram,4,2,3,4,2,4,2,2,4,3,3,4,Intermediate (Travel once or twice a year),Advice from influencers I follow,The scams and frauds spreading online.
04-01-2026 02:29,,Yes,18–25,2–3 times a year,"Instagram, YouTube",3,4,3,4,3,4,4,3,4,4,1,3,Beginner (Rarely travel),Advice from influencers I follow,Slot availablity 
04-01-2026 02:32,,Yes,18–25,Once a year,YouTube,3,3,3,3,3,3,3,3,2,3,2,4,Intermediate (Travel once or twice a year),Advice from influencers I follow,It is different from what they show.
04-01-2026 02:40,,Yes,26–40,Once a year,YouTube,4,4,4,3,3,3,3,2,1,5,3,1,Intermediate (Travel once or twice a year),Helpful and detailed information,No Comment
